id,date,latitude,longitude,place_desc,title,description,source,links,filters
,2023-02-09,46.783633,33.30486,Odradokam'yanka,Shelling at Odradokam'yanka,Alternate place names: Odradokamyanka,DEFMON,[],[]
,2023-02-09,46.571323,32.419653,Berehove,Shelling at Berehove,Alternate place names: Berehove,DEFMON,[],[]
,2023-02-09,46.838925,33.419339,Beryslav,Shelling at Beryslav,"Alternate place names: Beryslav, Berislav",DEFMON,[],[]
,2023-02-09,46.569644,32.396404,"Veletens'ke, Veletenski","Shelling at Veletens'ke, Veletenski","Alternate place names: Veletenske, Giant",DEFMON,[],[]
,2023-02-09,46.746995,32.901021,Ponyativka,Shelling at Ponyativka,"Alternate place names: Ponyativka, Poniativka",DEFMON,[],[]
,2023-02-09,46.873577,33.422009,Shlyakhove,Shelling at Shlyakhove,"Alternate place names: Shlyahove, Shlyakhovo",DEFMON,[],[]
,2023-02-09,46.790802,33.144197,L'vove,Shelling at L'vove,Alternate place names: Lviv,DEFMON,[],[]
,2023-02-09,46.575457,32.441,Yantarne,Shelling at Yantarne,"Alternate place names: Yantarne, Yantarna",DEFMON,[],[]
,2023-02-09,46.7902735,33.3572908,Vesele,Shelling at Vesele,Alternate place names: Vesele,DEFMON,[],[]
,2023-02-09,46.646827,32.626979,Kherson,Shelling at Kherson,Alternate place names: x,DEFMON,[],[]
,2023-02-09,46.948893,33.601714,Chervonyi Mayak,Shelling at Chervonyi Mayak,"Alternate place names: Chrevyn Mayak, Chervyn Mayak, Red Lighthouse",DEFMON,[],[]
,2023-02-09,46.774583,33.060154,Tyahynka,Shelling at Tyahynka,"Alternate place names: Tyaginka,Tyahinka",DEFMON,[],[]
,2023-02-09,46.860167,33.561931,Zmiivka,Shelling at Zmiivka,Alternate place names: Zmiivka,DEFMON,[],[]
,2023-02-10,51.451431,31.782413,Mykolaivka,Shelling at Mykolaivka,"Alternate place names: Mykolaivka, Mykolayivka",DEFMON,[],[]
,2023-02-10,52.303351,33.281813,Hai,Shelling at Hai,"Alternate place names: Gai, Hay",DEFMON,[],[]
,2023-02-10,52.08826,31.778857,Sen'kivka,Shelling at Sen'kivka,Alternate place names: Senkivka,DEFMON,[],[]
,2023-02-10,51.215133,34.507118,Pavlivka,Shelling at Pavlivka,"Alternate place names: Pavlivka, Pavlovka",DEFMON,[],[]
,2023-02-10,50.452018,35.527425,Oleksandrivka,Shelling at Oleksandrivka,Alternate place names: Oleksandrivka,DEFMON,[],[]
,2023-02-10,50.413691,35.546543,Ponomarenky,Shelling at Ponomarenky,Alternate place names: Ponomarenki,DEFMON,[],[]
,2023-02-10,51.181193,35.081807,Basivka,Shelling at Basivka,Alternate place names: Basivka,DEFMON,[],[]
,2023-02-10,51.224923,34.468661,Shpyl,Shelling at Shpyl,Alternate place names: Shpyl,DEFMON,[],[]
,2023-02-10,51.698657,34.129092,Studenok,Shelling at Studenok,"Alternate place names: Studenok, Studenka, Studenko",DEFMON,[],[]
,2023-02-10,50.41843,35.469091,Velyka Pysarivka,Shelling at Velyka Pysarivka,"Alternate place names: Velyka Pisarivka,Velika Pisarivka, Velika Pysarivka",DEFMON,[],[]
,2023-02-10,52.330733,33.475208,Novovasylivka,Shelling at Novovasylivka,Alternate place names: Novovasylivka,DEFMON,[],[]
,2023-02-10,52.121631,34.07578,Porokhon,Shelling at Porokhon,Alternate place names: Porohony,DEFMON,[],[]
,2023-02-10,51.241672,34.467407,Volfyne,Shelling at Volfyne,"Alternate place names: Volfyne,Volfine, Volfyny, Volfyno, Wolfyne",DEFMON,[],[]
,2023-02-10,50.382503,36.061166,Udy,Shelling at Udy,"Alternate place names: Uda, Svit, Udyv,Udiv",DEFMON,[],[]
,2023-02-10,50.331004,36.18481,Kozacha Lopan',Shelling at Kozacha Lopan',"Alternate place names: Kozach Lopan,Kozachoa Lopan",DEFMON,[],[]
,2023-02-10,50.227579,36.33268,Mali Prokhody,Shelling at Mali Prokhody,"Alternate place names: Mali Prokhody, Mali Prohody",DEFMON,[],[]
,2023-02-10,49.122014,38.1759245,Pishchane,Shelling at Pishchane,"Alternate place names: Pishchane, Pischane",DEFMON,[],[]
,2023-02-10,49.711325,37.614647,Kup'yans'k,Shelling at Kup'yans'k,"Alternate place names: Kupiansk, Kupyansk,Kup'yansk",DEFMON,[],[]
,2023-02-10,49.81883,37.615502,Zapadne,Shelling at Zapadne,"Alternate place names: Zapadne, Zapadny",DEFMON,[],[]
,2023-02-10,49.850057,37.67508,Dvorichna,Shelling at Dvorichna,"Alternate place names: Dvorichna, Dvorichny",DEFMON,[],[]
,2023-02-10,49.519824,37.951791,Novoselivs'ke,Shelling at Novoselivs'ke,Alternate place names: Novoselivske,DEFMON,[],[]
,2023-02-10,49.763584,37.699398,Syn'kivka,Shelling at Syn'kivka,"Alternate place names: Sinkivka, Synkivka",DEFMON,[],[]
,2023-02-10,49.899527,37.703649,Fyholivka,Shelling at Fyholivka,"Alternate place names: Figolivka, Figolivka",DEFMON,[],[]
,2023-02-10,50.390323,36.195188,Veterynarne,Shelling at Veterynarne,"Alternate place names: Veterinarne, Veterinary",DEFMON,[],[]
,2023-02-10,50.296807,36.841592,Ohirtseve,Shelling at Ohirtseve,"Alternate place names: Ohirtseve, Ogirtseve, Ohirtsevo, Okhirtsevo, Ogirtsevo",DEFMON,[],[]
,2023-02-10,48.99711,37.970486,Tors'ke,Shelling at Tors'ke,"Alternate place names: Torske, Torsky",DEFMON,[],[]
,2023-02-10,50.244949,36.795704,Starytsya,Shelling at Starytsya,"Alternate place names: Staritsa, Starytsia",DEFMON,[],[]
,2023-02-10,50.407071,36.131926,Chervona Zorya,Shelling at Chervona Zorya,Alternate place names: Chervona Zorya,DEFMON,[],[]
,2023-02-10,49.845345,37.712223,Hryanykivka,Shelling at Hryanykivka,"Alternate place names: Hryanikyvka, Hryanivikka",DEFMON,[],[]
,2023-02-10,49.571811,37.91805,Krokhmal'ne,Shelling at Krokhmal'ne,"Alternate place names: Krokhmalne, Krokhmalny",DEFMON,[],[]
,2023-02-10,48.575129,37.795614,Mykolaivka,Shelling at Mykolaivka,Alternate place names: Mykolaivka,DEFMON,[],[]
,2023-02-10,48.996538,38.110399,Dibrova,Shelling at Dibrova,Alternate place names: Dibrova,DEFMON,[],[]
,2023-02-10,49.218081,37.980906,Makiivka,Shelling at Makiivka,"Alternate place names: Makiivka, Makiyivka, Makiyivka",DEFMON,[],[]
,2023-02-10,49.472864,37.897285,Stel'makhivka,Shelling at Stel'makhivka,"Alternate place names: Stel'makhivka, Stelmakhivka",DEFMON,[],[]
,2023-02-10,49.890064,37.803291,Bohdanivske,Shelling at Bohdanivske,"Alternate place names: Bohdanivka, Bohdanivsk",DEFMON,[],[]
,2023-02-10,49.208241,38.087958,Ploshchanka,Shelling at Ploshchanka,"Alternate place names: Ploschanka, Ploshanka",DEFMON,[],[]
